Word	tf	tf-weight	df	idf	Posting list
34	1	1.0	1	0.6989700043360189	[(4, [15])]
98	1	1.0	1	0.6989700043360189	[(4, [13])]
a	1	1.0	1	0.6989700043360189	[(0, [7])]
alive	1	1.0	1	0.6989700043360189	[(2, [17])]
an	1	1.0	1	0.6989700043360189	[(1, [15])]
and	4	1.6020599913279625	3	0.22184874961635637	[(1, [9]), (3, [12]), (4, [5, 14])]
are	2	1.3010299956639813	2	0.3979400086720376	[(2, [6]), (3, [18])]
awful	1	1.0	1	0.6989700043360189	[(0, [9])]
better	1	1.0	1	0.6989700043360189	[(0, [16])]
birthday	1	1.0	1	0.6989700043360189	[(2, [1])]
blue	1	1.0	1	0.6989700043360189	[(3, [6])]
care	1	1.0	1	0.6989700043360189	[(0, [6])]
cent	1	1.0	1	0.6989700043360189	[(1, [21])]
egg	1	1.0	1	0.6989700043360189	[(1, [3])]
elephant’s	1	1.0	1	0.6989700043360189	[(1, [16])]
everywhere	1	1.0	1	0.6989700043360189	[(3, [19])]
faithful	1	1.0	1	0.6989700043360189	[(1, [17])]
fish	4	1.6020599913279625	1	0.6989700043360189	[(3, [1, 3, 5, 7])]
from	1	1.0	1	0.6989700043360189	[(3, [8])]
funny	1	1.0	1	0.6989700043360189	[(3, [16])]
get	1	1.0	1	0.6989700043360189	[(0, [15])]
go	1	1.0	1	0.6989700043360189	[(4, [4])]
going	1	1.0	1	0.6989700043360189	[(0, [13])]
guaranteed	1	1.0	1	0.6989700043360189	[(4, [17])]
happy	1	1.0	1	0.6989700043360189	[(2, [0])]
hatch	1	1.0	1	0.6989700043360189	[(1, [1])]
here	2	1.3010299956639813	1	0.6989700043360189	[(3, [11, 13])]
horton	1	1.0	1	0.6989700043360189	[(1, [0])]
hundred	1	1.0	1	0.6989700043360189	[(1, [19])]
i	4	1.6020599913279625	1	0.6989700043360189	[(1, [4, 7, 10, 13])]
indeed	1	1.0	1	0.6989700043360189	[(4, [12])]
is	4	1.6020599913279625	2	0.3979400086720376	[(0, [12]), (2, [9, 14, 19])]
it’s	1	1.0	1	0.6989700043360189	[(0, [17])]
like	1	1.0	1	0.6989700043360189	[(0, [4])]
lorax	1	1.0	1	0.6989700043360189	[(0, [1])]
lot	1	1.0	1	0.6989700043360189	[(0, [10])]
meant	2	1.3010299956639813	1	0.6989700043360189	[(1, [5, 14])]
no	1	1.0	1	0.6989700043360189	[(2, [15])]
not	1	1.0	1	0.6989700043360189	[(0, [18])]
nothing	1	1.0	1	0.6989700043360189	[(0, [11])]
oh	1	1.0	1	0.6989700043360189	[(4, [0])]
one	3	1.4771212547196624	3	0.22184874961635637	[(1, [18]), (2, [16]), (3, [0])]
per	1	1.0	1	0.6989700043360189	[(1, [20])]
percent	1	1.0	1	0.6989700043360189	[(4, [16])]
place	1	1.0	1	0.6989700043360189	[(4, [2])]
red	1	1.0	1	0.6989700043360189	[(3, [4])]
said	2	1.3010299956639813	1	0.6989700043360189	[(1, [8, 11])]
someone	1	1.0	1	0.6989700043360189	[(0, [3])]
succeed	1	1.0	1	0.6989700043360189	[(4, [8])]
than	2	1.3010299956639813	1	0.6989700043360189	[(2, [11, 21])]
that	1	1.0	1	0.6989700043360189	[(2, [8])]
the	3	1.4771212547196624	3	0.22184874961635637	[(0, [0]), (1, [2]), (4, [1])]
there	3	1.4771212547196624	2	0.3979400086720376	[(2, [13]), (3, [9, 15])]
thing	1	1.0	1	0.6989700043360189	[(3, [17])]
to	4	1.6020599913279625	3	0.22184874961635637	[(0, [14]), (2, [2]), (3, [10, 14])]
today	1	1.0	1	0.6989700043360189	[(2, [4])]
true	1	1.0	1	0.6989700043360189	[(2, [12])]
truer	1	1.0	1	0.6989700043360189	[(2, [10])]
two	1	1.0	1	0.6989700043360189	[(3, [2])]
unless	1	1.0	1	0.6989700043360189	[(0, [2])]
what	2	1.3010299956639813	1	0.6989700043360189	[(1, [6, 12])]
who	1	1.0	1	0.6989700043360189	[(2, [18])]
whole	1	1.0	1	0.6989700043360189	[(0, [8])]
will	2	1.3010299956639813	1	0.6989700043360189	[(4, [6, 11])]
yes	1	1.0	1	0.6989700043360189	[(4, [9])]
you	7	1.845098040014257	3	0.22184874961635637	[(0, [5]), (2, [3, 5, 7, 22]), (4, [7, 10])]
youer	1	1.0	1	0.6989700043360189	[(2, [20])]
you’ll	1	1.0	1	0.6989700043360189	[(4, [3])]
